month,number_of_guests,length_of_stay,occupancy
7,1.0,1,1
7,1.0,1,1
7,2.0,2,1
7,2.0,2,1
7,2.0,2,1
7,2.0,2,1
7,2.0,3,0
7,2.0,3,0
7,2.0,4,0
7,2.0,4,1
7,2.0,4,1
7,3.0,4,1
7,2.0,4,1
7,2.0,4,1
7,2.0,4,1
7,2.0,1,1
7,2.0,1,1
7,2.0,4,1
7,1.0,5,1
7,2.0,6,1
7,2.0,6,1
7,2.0,6,1
7,2.0,7,1
7,2.0,7,1
7,2.0,7,1
7,2.0,7,0
7,2.0,7,1
7,2.0,7,1
7,1.0,14,1
7,2.0,15,1
7,2.0,10,0
7,2.0,6,1
7,3.0,4,0
7,3.0,4,0
7,2.0,4,1
7,3.0,4,1
7,3.0,4,0
7,2.0,5,1
7,2.0,5,0
7,2.0,5,1
7,2.0,5,1
7,2.0,5,1
7,2.0,7,1
7,4.0,7,0
7,2.0,7,1
7,2.0,7,1
7,2.0,7,1
7,2.0,7,1
7,2.0,7,1
7,2.0,11,1
7,2.0,14,1
7,2.0,1,1
7,2.0,1,1
7,4.0,1,1
7,2.0,1,1
7,2.0,1,1
7,2.0,1,1
7,2.0,2,1
7,2.0,2,1
7,2.0,2,1
7,2.0,3,1
7,2.0,3,1
7,2.0,3,0
7,4.0,2,1
7,2.0,2,1
7,2.0,2,1
7,3.0,2,0
7,2.0,2,0
7,2.0,2,0
7,2.0,2,0
7,2.0,2,1
7,2.0,2,1
7,3.0,2,0
7,2.0,3,1
7,2.0,3,0
7,1.0,4,1
7,2.0,4,1
7,3.0,8,1
7,2.0,9,1
7,2.0,10,0
7,2.0,10,1
7,2.0,10,0
7,2.0,10,1
7,2.0,14,1
7,2.0,14,1
7,3.0,21,0
7,2.0,1,1
7,2.0,1,1
7,2.0,1,1
7,2.0,1,1
7,2.0,1,1
7,2.0,1,1
7,2.0,2,0
7,2.0,2,0
7,2.0,7,0
7,3.0,7,1
7,3.0,7,1
7,2.0,7,1
7,2.0,3,1
7,2.0,3,1
7,3.0,6,1
7,2.0,6,1
7,2.0,7,1
7,4.0,7,0
7,3.0,7,0
7,2.0,7,0
7,2.0,7,1
7,3.0,7,1
7,2.0,7,1
7,3.0,7,1
7,2.0,7,1
7,3.0,8,1
7,2.0,8,0
7,2.0,8,1
7,2.0,10,1
7,2.0,10,1
7,3.0,10,1
7,4.0,1,1
7,2.0,1,1
7,1.0,1,0
7,1.0,1,0
